,Name,Category,Category_1,Location,Location_1,Label,Rating,Review,avg_lunch,avg_dinner,min_lunch,max_lunch,min_dinner,max_dinner,Location_2
1187,따로집,전통주,주류,합정,마포구,예약,4.7,204,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,합정
1188,705사케집,"회,사시미",일식,서초,서초구,예약,4.6,23,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,서초
1189,Swig vin (스위그 뱅),와인,주류,마포,마포구,예약,4.8,164,22500.0,20000.0,15000.0,30000.0,10000.0,30000.0,마포
1190,연화옥,한식,한식,강서,강서구,예약,4.7,16,영업안함,20000.0,,,10000.0,30000.0,강서
1191,청파랑,"칵테일,위스키",주류,서울역,성동구,예약,4.8,85,영업안함,20000.0,,,10000.0,30000.0,서울역
1192,탄포포,이자카야,일식,잠실,송파구,예약,4.8,186,영업안함,20000.0,,,10000.0,30000.0,잠실
1193,KiKi 키키,이탈리아음식,양식,명일,강동구,예약,4.7,78,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,명일
1194,레이지파머스,베지테리안/비건,양식,경리단길,용산구,예약,4.7,496,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,경리단길
1195,고우 마곡점,야키토리,일식,마곡,강서구,예약,4.5,25,영업안함,20000.0,,,10000.0,30000.0,마곡
1196,비닐하우스 공덕점,와인,주류,마포,마포구,예약,4.5,88,영업안함,20000.0,,,10000.0,30000.0,마포
1197,히비,이자카야,일식,잠실,송파구,예약,4.8,317,영업안함,20000.0,,,10000.0,30000.0,잠실
1198,블루누드,양식,양식,한남,용산구,예약,4.8,12,영업안함,20000.0,,,10000.0,30000.0,한남
1199,오차드1974 2호점,이탈리아음식,양식,신당,중구,예약,4.7,43,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,신당
1200,풀몬티,유러피안음식,양식,양재,서초구,예약,4.6,610,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,양재
1201,청담 17,브런치,양식,청담,강남구,예약,4.7,18,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,청담
1202,금호 온,이탈리아음식,양식,금호,성동구,예약,4.7,110,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,금호
1203,볼보이07,양식,양식,이태원,용산구,예약,4.7,14,영업안함,20000.0,,,10000.0,30000.0,이태원
1204,환희,이탈리아음식,양식,혜화,종로구,예약,4.4,188,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,혜화
1205,웨어아위,양식,양식,샤로수길,관악구,예약,4.6,4,영업안함,20000.0,,,10000.0,30000.0,샤로수길
1206,이립,한식,한식,마곡,강서구,예약,4.5,8,영업안함,20000.0,,,10000.0,30000.0,마곡
1207,금토일샴페인빠 압구정점,양식,양식,압구정로데오,강남구,예약,4.8,1320,영업안함,20000.0,,,10000.0,30000.0,압구정로데오
1208,제일샴페인 신사 가로수길점,양식,양식,가로수길,강남구,예약,4.9,166,영업안함,20000.0,,,10000.0,30000.0,가로수길
1209,앤더슨씨 나인원점,브런치,양식,한남,용산구,예약,4.3,77,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,한남
